time;tp
1991-01-01;368.09845315953163
1991-02-01;198.4816644094824
1991-03-01;296.07075103456276
1991-04-01;127.74509137515822
1991-05-01;36.5608593881061
1991-06-01;0.3967133029412725
1991-07-01;0.16109521622995604
1991-08-01;0.07963674651344202
1991-09-01;69.73961967209075
1991-10-01;77.72468051843943
1991-11-01;252.38478436287272
1991-12-01;235.09748312072887
1992-01-01;401.80144694291755
1992-02-01;335.0885929629362
1992-03-01;160.33819512533117
1992-04-01;150.69373318127222
1992-05-01;22.20484653291802
1992-06-01;0.6041590137348773
1992-07-01;0.2376274416670982
1992-08-01;8.6198560785195
1992-09-01;85.58092773583708
1992-10-01;165.39008165015022
1992-11-01;292.23157847799905
1992-12-01;408.90977942458983
1993-01-01;143.16995211982285
1993-02-01;308.3022698425665
1993-03-01;129.03263789754573
1993-04-01;119.61651103006423
1993-05-01;38.98266744655184
1993-06-01;3.1324447447414596
1993-07-01;0.02237894809204527
1993-08-01;21.8906417774268
1993-09-01;73.44730805436909
1993-10-01;128.8064006215327
1993-11-01;160.58484590427386
1993-12-01;312.89624094464637
1994-01-01;284.5235424299273
1994-02-01;206.4051613303704
1994-03-01;292.233611716626
1994-04-01;145.52410910769206
1994-05-01;23.65344935655594
1994-06-01;17.365163199162232
1994-07-01;0.9949945787381074
1994-08-01;0.2475346543509232
1994-09-01;13.907880149651904
1994-10-01;100.60328440819883
1994-11-01;241.58303326430635
1994-12-01;249.75512685288396
1995-01-01;265.9595382460042
1995-02-01;274.8325017138225
1995-03-01;236.49210448575215
1995-04-01;213.6760512627791
1995-05-01;111.50945534772573
1995-06-01;0.5951726270469639
1995-07-01;0.1656349043120629
1995-08-01;0.039049418822675076
1995-09-01;7.336908618332202
1995-10-01;120.12350986851217
1995-11-01;246.5578864924999
1995-12-01;277.7061860874278
1996-01-01;182.13470233843577
1996-02-01;183.13542572657266
1996-03-01;242.36839401625036
1996-04-01;162.2080304647572
1996-05-01;67.78028273367855
1996-06-01;1.558799569199725
1996-07-01;0.13063372946782395
1996-08-01;19.27031466299095
1996-09-01;18.51316947139514
1996-10-01;178.40326114011006
1996-11-01;298.2827268327986
1996-12-01;199.14394374397713
1997-01-01;349.4979718138532
1997-02-01;185.57753505164047
1997-03-01;406.2931739777223
1997-04-01;179.4121630848077
1997-05-01;31.95048734694546
1997-06-01;13.020246284348625
1997-07-01;0.0624235948757566
1997-08-01;0.09294919470599858
1997-09-01;39.135663455371656
1997-10-01;130.16141052307015
1997-11-01;157.23620316292767
1997-12-01;224.8854972770682
1998-01-01;251.7066348983574
1998-02-01;232.15062739209432
1998-03-01;152.75963503392316
1998-04-01;64.88496578944269
1998-05-01;45.162573676629904
1998-06-01;1.7738225464206123
1998-07-01;0.2510748223837521
1998-08-01;0.07787994114502521
1998-09-01;5.226978958691454
1998-10-01;118.17428963698023
1998-11-01;275.73763647976654
1998-12-01;234.96414522759176
1999-01-01;228.0370552024775
1999-02-01;187.54859009409338
1999-03-01;209.81100256130117
1999-04-01;76.10448606130554
1999-05-01;42.917654495898304
1999-06-01;0.32301200391523516
1999-07-01;0.2341803582980104
1999-08-01;0.22963718289420718
1999-09-01;55.91369389656944
1999-10-01;145.62587096799126
1999-11-01;250.42239172533414
1999-12-01;307.51949737517816
2000-01-01;263.17030551652323
2000-02-01;255.4222325852247
2000-03-01;231.47486355772693
2000-04-01;115.07438962467872
2000-05-01;2.8350946258723253
2000-06-01;0.18962272783605064
2000-07-01;2.513576978244294
2000-08-01;4.483732127700256
2000-09-01;52.27019581437526
2000-10-01;87.95891012872691
2000-11-01;244.93514674881195
2000-12-01;299.66215116664785
2001-01-01;186.51037583104687
2001-02-01;179.52467674550002
2001-03-01;254.62044765226517
2001-04-01;82.02895875799531
2001-05-01;32.977983682343904
2001-06-01;3.8903868551453646
2001-07-01;0.4483013739430807
2001-08-01;1.3130774827507454
2001-09-01;24.230411418223632
2001-10-01;155.14527173546273
2001-11-01;255.87492791202425
2001-12-01;236.13244485688958
2002-01-01;332.2158830412312
2002-02-01;220.50869253980434
2002-03-01;165.9867203771445
2002-04-01;55.22995982851301
2002-05-01;15.996306803583684
2002-06-01;0.11072808857163485
2002-07-01;0.8934719377693814
2002-08-01;0.18044260874580978
2002-09-01;36.59329556214269
2002-10-01;57.9836991844
2002-11-01;153.202936042892
2002-12-01;266.45740909941935
2003-01-01;279.82415110087425
2003-02-01;182.32406075795492
2003-03-01;252.99699983045753
2003-04-01;116.6739169666576
2003-05-01;39.976046131324544
2003-06-01;0.8031240427535585
2003-07-01;0.05831123782921059
2003-08-01;8.429248459247763
2003-09-01;24.47256543079735
2003-10-01;97.65991903009038
2003-11-01;191.33243814162677
2003-12-01;186.52271439154111
2004-01-01;450.6218025875424
2004-02-01;320.135859057463
2004-03-01;233.98972620310545
2004-04-01;103.52434869842662
2004-05-01;6.730640056102811
2004-06-01;0.4985352218774138
2004-07-01;1.9744375804990841
2004-08-01;1.1466201070293731
2004-09-01;2.4047322618006
2004-10-01;108.63539738086043
2004-11-01;144.5433904401932
2004-12-01;201.2498797423333
2005-01-01;313.13878067916
2005-02-01;220.83203041262743
2005-03-01;319.18679188740515
2005-04-01;96.23360017866207
2005-05-01;33.41760060374607
2005-06-01;0.6096015720001912
2005-07-01;0.12181697545289716
2005-08-01;0.1471448564224819
2005-09-01;35.213967237738366
2005-10-01;55.93624568033994
2005-11-01;219.2957231142795
2005-12-01;350.16771410455823
2006-01-01;151.15316644923612
2006-02-01;240.09571657723527
2006-03-01;264.9606739934729
2006-04-01;202.22999547001376
