01/1991,316.79973303936686
02/1991,190.05103558008787
03/1991,268.9101483605971
04/1991,91.53373383107733
05/1991,42.384845468422846
06/1991,29.56258920093331
07/1991,25.75656366711199
08/1991,15.31527758756715
09/1991,76.10047536795257
10/1991,97.81031225836901
11/1991,198.25001278303267
12/1991,231.70910709151804
01/1992,371.6201663737554
02/1992,210.65383728363847
03/1992,111.50084758875056
04/1992,96.250467222245
05/1992,56.93930164577438
06/1992,13.273714477898645
07/1992,31.841039506184877
08/1992,31.02329340788836
09/1992,103.48549629541974
10/1992,178.8485238693544
11/1992,217.02395693200535
12/1992,231.47688885548448
01/1993,155.00087796832136
02/1993,202.99150023304048
03/1993,94.27034107006499
04/1993,95.30465393490758
05/1993,51.96359488914759
06/1993,37.417165786376884
07/1993,15.142942623920872
08/1993,30.993042919339842
09/1993,95.01414924650616
10/1993,84.62674770650223
11/1993,109.53468367701672
12/1993,250.05673419545164
01/1994,267.88792123248294
02/1994,91.67787310073936
03/1994,249.30695147611127
04/1994,82.26715221198437
05/1994,58.67614275733537
06/1994,28.352524151009195
07/1994,22.38314026789587
08/1994,6.08139515076644
09/1994,14.639804600552598
10/1994,97.84747370032945
11/1994,181.7930773102986
12/1994,212.14291811892056
01/1995,166.92748871015255
02/1995,254.91803227747724
03/1995,174.62884212861667
04/1995,101.39975594413364
05/1995,66.74478579698179
06/1995,15.984296432982005
07/1995,23.98486228616418
08/1995,10.546966686274835
09/1995,45.09234018990251
10/1995,178.00717779633405
11/1995,184.33024906442094
12/1995,293.94856939271125
01/1996,150.1590627654282
02/1996,148.0989059507614
03/1996,183.6028104485896
04/1996,69.84929422025658
05/1996,46.84350145928661
06/1996,20.782754209058346
07/1996,12.427381918078563
08/1996,23.80239483972344
09/1996,104.90829587680673
10/1996,136.16516749557343
11/1996,242.36063726054422
12/1996,258.3239632894246
01/1997,302.0590771256156
02/1997,115.70286487881603
03/1997,206.82751289044944
04/1997,83.40732818744222
05/1997,51.08508729771838
06/1997,71.99348456546909
07/1997,7.895578651294217
08/1997,13.714417653657048
09/1997,78.09889032634136
10/1997,122.42028200905553
11/1997,195.96149060430236
12/1997,221.33298023820947
01/1998,186.1962017130796
02/1998,188.02418576563642
03/1998,119.90181888219996
04/1998,60.69742600867564
05/1998,65.83792425528064
06/1998,17.058648005023215
07/1998,7.795160217502915
08/1998,55.54184575503362
09/1998,53.15252161416851
10/1998,145.46016012407856
11/1998,203.43288849611753
12/1998,235.6787111682877
01/1999,217.08054301619623
02/1999,155.14225638368742
03/1999,173.97677039039218
04/1999,50.01571578499305
05/1999,22.819736171150282
06/1999,27.39516753502696
07/1999,19.501637998872397
08/1999,8.161790990299028
09/1999,41.81941977569035
10/1999,83.09023367991027
11/1999,203.22262673523164
12/1999,222.49161147252366
01/2000,257.06368647265674
02/2000,179.85718993578544
03/2000,169.06448351843667
04/2000,35.459067508822585
05/2000,13.583862121639356
06/2000,11.313728963742491
07/2000,24.74968966448521
08/2000,43.56563771762111
09/2000,94.54344281686832
10/2000,55.31986624779504
11/2000,235.63984514678668
12/2000,250.44244879414381
01/2001,125.2546454210192
02/2001,96.28180856782882
03/2001,146.08582129444022
04/2001,33.73570584720415
05/2001,62.55893832863913
06/2001,15.646341057795272
07/2001,17.828364828059115
08/2001,27.64158045361509
09/2001,59.0022454258988
10/2001,114.20643208680164
11/2001,230.7168656908656
12/2001,244.71342978097795
01/2002,223.38700397641838
02/2002,229.58524701373824
03/2002,98.90562554837948
04/2002,26.309229657577408
05/2002,38.25524750577575
06/2002,7.3353295387652215
07/2002,18.866148591692983
08/2002,21.208991825254888
09/2002,79.40930648626153
10/2002,51.277841504200836
11/2002,162.30374230713142
12/2002,253.82626027208488
01/2003,335.94924202810313
02/2003,82.2622499335659
03/2003,138.0359121978888
04/2003,65.12345221059384
05/2003,28.094754979444797
06/2003,6.268394532192507
07/2003,13.479805371753876
08/2003,30.359807135256634
09/2003,33.78781005007322
10/2003,83.24306350318274
11/2003,131.02709312628807
12/2003,201.04833724320073
01/2004,261.6078159025551
02/2004,249.87684767791575
03/2004,169.51049077948213
04/2004,121.26028251312935
05/2004,49.617107139957035
06/2004,28.05201102475651
07/2004,37.59294318492109
08/2004,5.393967503500022
09/2004,10.952250699248749
10/2004,106.01699887096277
11/2004,141.0785117556954
12/2004,240.62979430579097
01/2005,286.69419378986777
02/2005,129.05324621409014
03/2005,190.88814977925796
04/2005,45.412068262312395
05/2005,43.35890820261838
06/2005,22.753926595145142
07/2005,22.83759604623595
08/2005,9.705365804887023
09/2005,72.85449786822745
10/2005,85.81158364749717
11/2005,221.2938103351995
12/2005,237.21716784165298
01/2006,114.40021018578055
02/2006,160.76792185293522
03/2006,214.27397498481446
04/2006,70.8970000286013
05/2006,23.065718729592785
06/2006,10.944717599022304
07/2006,14.880425599801363
08/2006,17.381896655137048
09/2006,62.21553288103546
10/2006,144.3690897706521
11/2006,216.4935229366222
12/2006,285.10281294849494
01/2007,311.62441609503236
02/2007,174.5192526337879
03/2007,59.267255126499364
04/2007,64.48454122493082
05/2007,31.402972743903913
06/2007,5.5758529454818655
07/2007,37.142428337271376
08/2007,6.546513873092091
09/2007,12.045763867800353
10/2007,54.610418314211636
11/2007,164.13830476287376
12/2007,194.63229242309194
01/2008,239.61181493916612
02/2008,192.80087711595166
03/2008,185.51690193678047
04/2008,115.3538459218358
05/2008,27.460494656659588
06/2008,16.227494708548107
07/2008,4.015911081216933
08/2008,25.01752935676813
09/2008,53.79826929027638
10/2008,67.44461105634792
11/2008,217.3926722305441
