time,tp
1991-01-01,192.4344506263733
1991-02-01,130.28481101989746
1991-03-01,184.17318725585938
1991-04-01,76.4577054977417
1991-05-01,88.90674448013306
1991-06-01,179.69146728515625
1991-07-01,20.587563514709473
1991-08-01,128.37709856033325
1991-09-01,129.18502807617188
1991-10-01,146.53879594802856
1991-11-01,96.57159805297852
1991-12-01,213.67772674560547
1992-01-01,87.66089940071106
1992-02-01,218.29265069961548
1992-03-01,245.87029027938843
1992-04-01,61.80055618286133
1992-05-01,247.5094609260559
1992-06-01,71.82575941085815
1992-07-01,144.96521282196045
1992-08-01,136.04823684692383
1992-09-01,114.33764934539795
1992-10-01,155.38996267318726
1992-11-01,130.64436435699463
1992-12-01,65.1720073223114
1993-01-01,316.02530097961426
1993-02-01,276.97376251220703
1993-03-01,179.38707208633423
1993-04-01,66.74967527389526
1993-05-01,75.92472434043884
1993-06-01,123.85524272918701
1993-07-01,115.32948350906372
1993-08-01,42.355140686035156
1993-09-01,279.43553924560547
1993-10-01,93.75845456123352
1993-11-01,123.66481304168701
1993-12-01,135.98263454437256
1994-01-01,344.9397449493408
1994-02-01,213.84480094909668
1994-03-01,104.05223631858826
1994-04-01,119.98459339141846
1994-05-01,150.14467573165894
1994-06-01,98.0941915512085
1994-07-01,72.31862282752991
1994-08-01,13.965480029582977
1994-09-01,60.0875186920166
1994-10-01,165.880521774292
1994-11-01,202.91447639465332
1994-12-01,218.26730108261108
1995-01-01,295.3066806793213
1995-02-01,168.48204040527344
1995-03-01,153.6198239326477
1995-04-01,125.44132232666016
1995-05-01,24.06247705221176
1995-06-01,61.9909930229187
1995-07-01,130.93413972854614
1995-08-01,65.10641241073608
1995-09-01,184.32342052459717
1995-10-01,252.4924716949463
1995-11-01,85.2137804031372
1995-12-01,209.0225796699524
1996-01-01,278.0629425048828
1996-02-01,214.7352156639099
1996-03-01,173.55166006088257
1996-04-01,67.13054895401001
1996-05-01,41.30608773231506
1996-06-01,59.51642990112305
1996-07-01,46.35481536388397
1996-08-01,53.5014271736145
1996-09-01,146.82412147521973
1996-10-01,183.45210886001587
1996-11-01,118.01764011383057
1996-12-01,269.21156883239746
1997-01-01,359.5608100891113
1997-02-01,272.11768341064453
1997-03-01,80.5142912864685
1997-04-01,40.10059118270874
1997-05-01,55.468350648880005
1997-06-01,254.05537605285645
1997-07-01,27.996324002742767
1997-08-01,104.18342614173889
1997-09-01,144.7304391860962
1997-10-01,217.0870509147644
1997-11-01,215.16032695770264
1997-12-01,175.25643301010132
1998-01-01,190.0741868019104
1998-02-01,232.9137954711914
1998-03-01,241.60857963562012
1998-04-01,181.2777614593506
1998-05-01,56.77955412864685
1998-06-01,52.15622663497925
1998-07-01,97.88908624649048
1998-08-01,188.17263650894165
1998-09-01,334.2567729949951
1998-10-01,199.90903329849243
1998-11-01,52.663832902908325
1998-12-01,155.58674001693726
1999-01-01,323.499794960022
1999-02-01,196.13788032531738
1999-03-01,108.64180326461792
1999-04-01,79.05922651290894
1999-05-01,74.21995139122009
1999-06-01,114.65482234954834
1999-07-01,118.14890432357788
1999-08-01,8.457817137241364
1999-09-01,118.3350419998169
1999-10-01,86.21850609779358
1999-11-01,106.27940654754639
1999-12-01,164.50373077392578
2000-01-01,172.76475763320923
2000-02-01,208.2336573600769
2000-03-01,129.49174642562866
2000-04-01,14.339759945869446
2000-05-01,27.79977023601532
2000-06-01,84.76964950561523
2000-07-01,56.451812386512756
2000-08-01,145.09618091583252
2000-09-01,211.60706520080566
2000-10-01,148.30893468856812
2000-11-01,189.84362125396729
2000-12-01,234.85531187057495
2001-01-01,193.15576553344727
2001-02-01,254.29225540161133
2001-03-01,145.09618091583252
2001-04-01,54.7577440738678
2001-05-01,92.31606125831604
2001-06-01,113.258957862854
2001-07-01,75.85912942886353
2001-08-01,53.5667929649353
2001-09-01,131.2789249420166
2001-10-01,110.0841965675354
2001-11-01,127.02763080596924
2001-12-01,138.21194505691528
2002-01-01,205.3508758544922
2002-02-01,138.16111946105957
2002-03-01,86.87422609329224
2002-04-01,55.13839244842529
2002-05-01,130.5408067703247
2002-06-01,12.753456830978394
2002-07-01,67.9258406162262
2002-08-01,110.93670129776001
2002-09-01,91.17811918258667
2002-10-01,120.50916814804077
2002-11-01,159.89497661590576
2002-12-01,127.5248155593872
2003-01-01,289.14352321624756
2003-02-01,151.3081226348877
2003-03-01,166.40504455566406
2003-04-01,67.25728511810303
2003-05-01,36.38877534866333
2003-06-01,74.36379432678223
2003-07-01,88.64436483383179
2003-08-01,24.390220642089844
2003-09-01,100.44201850891113
2003-10-01,105.8882064819336
2003-11-01,138.3852195739746
2003-12-01,177.6166968345642
2004-01-01,214.8578586578369
2004-02-01,134.14055681228638
2004-03-01,121.4926335811615
2004-04-01,97.5865888595581
2004-05-01,229.2166771888733
2004-06-01,62.05447196960449
2004-07-01,79.92416620254517
2004-08-01,22.488892078399658
2004-09-01,67.25728511810303
2004-10-01,158.40593910217285
2004-11-01,141.05021953582764
2004-12-01,157.094735622406
2005-01-01,256.16407203674316
2005-02-01,59.99010467529297
2005-03-01,92.51284599304199
2005-04-01,121.31721496582031
2005-05-01,99.85600972175598
2005-06-01,49.30101156234741
2005-07-01,47.79721236228943
2005-08-01,62.74614858627319
2005-09-01,315.28507232666016
2005-10-01,224.4304437637329
2005-11-01,108.94439935684204
2005-12-01,103.65889596939087
2006-01-01,153.29184198379517
2006-02-01,153.20318603515625
2006-03-01,143.39162969589233
2006-04-01,26.458874344825745
2006-05-01,17.636947333812714
2006-06-01,37.18189716339111
